,0
customId,tOsXO
winnerCode,1
hasGlobalHighlights,True
hasEventPlayerStatistics,True
hasEventPlayerHeatMap,True
detailId,1
crowdsourcingDataDisplayEnabled,False
id,12146204
defaultPeriodCount,2
defaultPeriodLength,45
defaultOvertimeLength,15
crowdsourcingEnabled,False
currentPeriodStartTimestamp,1713648729
startTimestamp,1713641400
slug,paysandu-santos
finalResultOnly,False
feedLocked,False
fanRatingEvent,False
seasonStatisticsType,overall
showTotoPromo,True
isEditor,False
tournament.name,Brasileirão Série B
tournament.slug,brasileirao-serie-b
tournament.category.name,Brazil
tournament.category.slug,brazil
tournament.category.sport.name,Football
tournament.category.sport.slug,football
tournament.category.sport.id,1
tournament.category.id,13
tournament.category.country.alpha2,BR
tournament.category.country.alpha3,BRA
tournament.category.country.name,Brazil
tournament.category.flag,brazil
tournament.category.alpha2,BR
tournament.uniqueTournament.name,Brasileirão Série B
tournament.uniqueTournament.slug,brasileirao-serie-b
tournament.uniqueTournament.primaryColorHex,#3F01FF
tournament.uniqueTournament.secondaryColorHex,#c5be02
tournament.uniqueTournament.category.name,Brazil
tournament.uniqueTournament.category.slug,brazil
tournament.uniqueTournament.category.sport.name,Football
tournament.uniqueTournament.category.sport.slug,football
tournament.uniqueTournament.category.sport.id,1
tournament.uniqueTournament.category.id,13
tournament.uniqueTournament.category.country.alpha2,BR
tournament.uniqueTournament.category.country.alpha3,BRA
tournament.uniqueTournament.category.country.name,Brazil
tournament.uniqueTournament.category.flag,brazil
tournament.uniqueTournament.category.alpha2,BR
tournament.uniqueTournament.userCount,98477
tournament.uniqueTournament.id,390
tournament.uniqueTournament.hasEventPlayerStatistics,True
tournament.uniqueTournament.crowdsourcingEnabled,False
tournament.uniqueTournament.hasPerformanceGraphFeature,True
tournament.uniqueTournament.displayInverseHomeAwayTeams,False
tournament.priority,291
tournament.isGroup,False
tournament.competitionType,1
tournament.isLive,False
tournament.id,1449
season.name,Brasileiro Serie B 2024
season.year,2024
season.editor,False
season.id,59015
roundInfo.round,1
status.code,100
status.description,Ended
status.type,finished
referee.name,Lucas Guimarães Rechatiko Horn
referee.slug,lucas-guimaraes-rechatiko-horn
referee.yellowCards,11
referee.redCards,1
referee.yellowRedCards,0
referee.games,2
referee.sport.id,1
referee.sport.slug,football
referee.sport.name,Football
referee.id,789412
referee.country.alpha2,BR
referee.country.alpha3,BRA
referee.country.name,Brazil
homeTeam.name,Santos
homeTeam.slug,santos
homeTeam.shortName,Santos
homeTeam.gender,M
homeTeam.sport.name,Football
homeTeam.sport.slug,football
homeTeam.sport.id,1
homeTeam.userCount,138777
homeTeam.manager.name,Fábio Carille
homeTeam.manager.slug,fabio-carille
homeTeam.manager.shortName,F. Carille
homeTeam.manager.id,787764
homeTeam.manager.country.alpha2,BR
homeTeam.manager.country.alpha3,BRA
homeTeam.manager.country.name,Brazil
homeTeam.venue.city.name,Santos
homeTeam.venue.stadium.name,Urbano Caldeira
homeTeam.venue.stadium.capacity,16798
homeTeam.venue.id,810
homeTeam.venue.country.alpha2,BR
homeTeam.venue.country.alpha3,BRA
homeTeam.venue.country.name,Brazil
homeTeam.nameCode,SAN
homeTeam.disabled,False
homeTeam.national,False
homeTeam.type,0
homeTeam.id,1968
homeTeam.country.alpha2,BR
homeTeam.country.alpha3,BRA
homeTeam.country.name,Brazil
homeTeam.subTeams,[]
homeTeam.fullName,Santos
homeTeam.teamColors.primary,#ffffff
homeTeam.teamColors.secondary,#ffffff
homeTeam.teamColors.text,#ffffff
homeTeam.foundationDateTimestamp,-1821398400
homeTeam.fieldTranslations.nameTranslation.ru,ФК Сантос
awayTeam.name,Paysandu
awayTeam.slug,paysandu
awayTeam.shortName,Paysandu
awayTeam.gender,M
awayTeam.sport.name,Football
awayTeam.sport.slug,football
awayTeam.sport.id,1
awayTeam.userCount,18913
awayTeam.manager.name,Helio Dos Anjos
awayTeam.manager.slug,helio-dos-anjos
awayTeam.manager.shortName,H. D. Anjos
awayTeam.manager.id,784883
awayTeam.manager.country.alpha2,BR
awayTeam.manager.country.alpha3,BRA
awayTeam.manager.country.name,Brazil
awayTeam.venue.city.name,Belém
awayTeam.venue.stadium.name,Estádio Banpará Curuzu
awayTeam.venue.stadium.capacity,16200
awayTeam.venue.id,11749
awayTeam.venue.country.alpha2,BR
awayTeam.venue.country.alpha3,BRA
awayTeam.venue.country.name,Brazil
awayTeam.nameCode,PAY
awayTeam.disabled,False
awayTeam.national,False
awayTeam.type,0
awayTeam.id,1997
awayTeam.country.alpha2,BR
awayTeam.country.alpha3,BRA
awayTeam.country.name,Brazil
awayTeam.subTeams,[]
awayTeam.fullName,Paysandu
awayTeam.teamColors.primary,#ffffff
awayTeam.teamColors.secondary,#3333ff
awayTeam.teamColors.text,#3333ff
awayTeam.foundationDateTimestamp,-1764460800
homeScore.current,2
homeScore.display,2
homeScore.period1,0
homeScore.period2,2
homeScore.normaltime,2
awayScore.current,0
awayScore.display,0
awayScore.period1,0
awayScore.period2,0
awayScore.normaltime,0
time.injuryTime1,4
time.injuryTime2,8
time.currentPeriodStartTimestamp,1713648729
changes.changes,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']"
changes.changeTimestamp,1713648732
